instance_id,family,n,seed,regime,live_vars,profiles,rows,cols,rank,rank_ratio_L,profiles_ratio_L,rank_ratio_profiles,elapsed_s
tseitin_rand3_n64_s0,tseitin_rand3_n64,64,0,R0_RAW,17,3,616,154,9,0.529412,0.176471,3.000000,0.092
tseitin_rand3_n64_s0,tseitin_rand3_n64,64,0,R1_WEAK,17,3,616,154,9,0.529412,0.176471,3.000000,0.101
tseitin_rand3_n64_s0,tseitin_rand3_n64,64,0,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.021
tseitin_rand3_n64_s1,tseitin_rand3_n64,64,1,R0_RAW,17,3,616,154,8,0.470588,0.176471,2.666667,0.049
tseitin_rand3_n64_s1,tseitin_rand3_n64,64,1,R1_WEAK,17,3,616,154,7,0.411765,0.176471,2.333333,0.056
tseitin_rand3_n64_s1,tseitin_rand3_n64,64,1,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.022
tseitin_rand3_n64_s2,tseitin_rand3_n64,64,2,R0_RAW,17,3,616,154,1,0.058824,0.176471,0.333333,0.055
tseitin_rand3_n64_s2,tseitin_rand3_n64,64,2,R1_WEAK,17,3,616,154,2,0.117647,0.176471,0.666667,0.046
tseitin_rand3_n64_s2,tseitin_rand3_n64,64,2,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.038
tseitin_rand3_n64_s3,tseitin_rand3_n64,64,3,R0_RAW,17,3,616,154,6,0.352941,0.176471,2.000000,0.046
tseitin_rand3_n64_s3,tseitin_rand3_n64,64,3,R1_WEAK,17,3,616,154,8,0.470588,0.176471,2.666667,0.053
tseitin_rand3_n64_s3,tseitin_rand3_n64,64,3,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.023
tseitin_rand3_n64_s4,tseitin_rand3_n64,64,4,R0_RAW,17,3,616,154,8,0.470588,0.176471,2.666667,0.106
tseitin_rand3_n64_s4,tseitin_rand3_n64,64,4,R1_WEAK,17,3,616,154,8,0.470588,0.176471,2.666667,0.071
tseitin_rand3_n64_s4,tseitin_rand3_n64,64,4,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.023
tseitin_rand3_n64_s5,tseitin_rand3_n64,64,5,R0_RAW,17,3,616,154,5,0.294118,0.176471,1.666667,0.051
tseitin_rand3_n64_s5,tseitin_rand3_n64,64,5,R1_WEAK,17,3,616,154,4,0.235294,0.176471,1.333333,0.055
tseitin_rand3_n64_s5,tseitin_rand3_n64,64,5,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.021
tseitin_rand3_n64_s6,tseitin_rand3_n64,64,6,R0_RAW,17,3,616,154,11,0.647059,0.176471,3.666667,0.052
tseitin_rand3_n64_s6,tseitin_rand3_n64,64,6,R1_WEAK,17,3,616,154,10,0.588235,0.176471,3.333333,0.046
tseitin_rand3_n64_s6,tseitin_rand3_n64,64,6,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.021
tseitin_rand3_n64_s7,tseitin_rand3_n64,64,7,R0_RAW,17,3,616,154,6,0.352941,0.176471,2.000000,0.058
tseitin_rand3_n64_s7,tseitin_rand3_n64,64,7,R1_WEAK,17,3,616,154,5,0.294118,0.176471,1.666667,0.046
tseitin_rand3_n64_s7,tseitin_rand3_n64,64,7,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.030
tseitin_rand3_n64_s8,tseitin_rand3_n64,64,8,R0_RAW,17,3,616,154,3,0.176471,0.176471,1.000000,0.047
tseitin_rand3_n64_s8,tseitin_rand3_n64,64,8,R1_WEAK,17,3,616,154,3,0.176471,0.176471,1.000000,0.060
tseitin_rand3_n64_s8,tseitin_rand3_n64,64,8,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.022
tseitin_rand3_n64_s9,tseitin_rand3_n64,64,9,R0_RAW,17,3,616,154,12,0.705882,0.176471,4.000000,0.048
tseitin_rand3_n64_s9,tseitin_rand3_n64,64,9,R1_WEAK,17,3,616,154,13,0.764706,0.176471,4.333333,0.054
tseitin_rand3_n64_s9,tseitin_rand3_n64,64,9,R2_FULL,3,3,512,7,7,2.333333,1.000000,2.333333,0.022
tseitin_rand3_n128_s0,tseitin_rand3_n128,128,0,R0_RAW,21,5,928,232,4,0.190476,0.238095,0.800000,0.107
tseitin_rand3_n128_s0,tseitin_rand3_n128,128,0,R1_WEAK,21,5,928,232,6,0.285714,0.238095,1.200000,0.098
tseitin_rand3_n128_s0,tseitin_rand3_n128,128,0,R2_FULL,5,5,512,16,15,3.000000,1.000000,3.000000,0.029
tseitin_rand3_n128_s1,tseitin_rand3_n128,128,1,R0_RAW,21,5,928,232,12,0.571429,0.238095,2.400000,0.108
tseitin_rand3_n128_s1,tseitin_rand3_n128,128,1,R1_WEAK,21,5,928,232,7,0.333333,0.238095,1.400000,0.099
tseitin_rand3_n128_s1,tseitin_rand3_n128,128,1,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.031
tseitin_rand3_n128_s2,tseitin_rand3_n128,128,2,R0_RAW,21,5,928,232,4,0.190476,0.238095,0.800000,0.098
tseitin_rand3_n128_s2,tseitin_rand3_n128,128,2,R1_WEAK,21,5,928,232,9,0.428571,0.238095,1.800000,0.109
tseitin_rand3_n128_s2,tseitin_rand3_n128,128,2,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.025
tseitin_rand3_n128_s3,tseitin_rand3_n128,128,3,R0_RAW,21,5,928,232,8,0.380952,0.238095,1.600000,0.097
tseitin_rand3_n128_s3,tseitin_rand3_n128,128,3,R1_WEAK,21,5,928,232,8,0.380952,0.238095,1.600000,0.102
tseitin_rand3_n128_s3,tseitin_rand3_n128,128,3,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.032
tseitin_rand3_n128_s4,tseitin_rand3_n128,128,4,R0_RAW,21,5,928,232,8,0.380952,0.238095,1.600000,0.110
tseitin_rand3_n128_s4,tseitin_rand3_n128,128,4,R1_WEAK,21,5,928,232,3,0.142857,0.238095,0.600000,0.114
tseitin_rand3_n128_s4,tseitin_rand3_n128,128,4,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.028
tseitin_rand3_n128_s5,tseitin_rand3_n128,128,5,R0_RAW,21,5,928,232,6,0.285714,0.238095,1.200000,0.103
tseitin_rand3_n128_s5,tseitin_rand3_n128,128,5,R1_WEAK,21,5,928,232,6,0.285714,0.238095,1.200000,0.101
tseitin_rand3_n128_s5,tseitin_rand3_n128,128,5,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.024
tseitin_rand3_n128_s6,tseitin_rand3_n128,128,6,R0_RAW,21,5,928,232,4,0.190476,0.238095,0.800000,0.096
tseitin_rand3_n128_s6,tseitin_rand3_n128,128,6,R1_WEAK,21,5,928,232,10,0.476190,0.238095,2.000000,0.100
tseitin_rand3_n128_s6,tseitin_rand3_n128,128,6,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.041
tseitin_rand3_n128_s7,tseitin_rand3_n128,128,7,R0_RAW,21,5,928,232,4,0.190476,0.238095,0.800000,0.109
tseitin_rand3_n128_s7,tseitin_rand3_n128,128,7,R1_WEAK,21,5,928,232,7,0.333333,0.238095,1.400000,0.100
tseitin_rand3_n128_s7,tseitin_rand3_n128,128,7,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.023
tseitin_rand3_n128_s8,tseitin_rand3_n128,128,8,R0_RAW,21,5,928,232,3,0.142857,0.238095,0.600000,0.099
tseitin_rand3_n128_s8,tseitin_rand3_n128,128,8,R1_WEAK,21,5,928,232,8,0.380952,0.238095,1.600000,0.096
tseitin_rand3_n128_s8,tseitin_rand3_n128,128,8,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.024
tseitin_rand3_n128_s9,tseitin_rand3_n128,128,9,R0_RAW,21,5,928,232,13,0.619048,0.238095,2.600000,0.108
tseitin_rand3_n128_s9,tseitin_rand3_n128,128,9,R1_WEAK,21,5,928,232,7,0.333333,0.238095,1.400000,0.102
tseitin_rand3_n128_s9,tseitin_rand3_n128,128,9,R2_FULL,5,5,512,16,16,3.200000,1.000000,3.200000,0.035
