suite,n,rank,sqrt_n,k,samples,projections,time_sec
scaling,10,100,4,3,100,120,59.57
scaling,12,100,4,3,100,220,99.16
scaling,14,100,4,3,100,364,178.3
scaling,16,100,4,4,100,560,518.52
scaling,18,100,5,4,100,816,593.65
scaling,20,100,5,4,100,1140,712.77
scaling,22,98,5,4,98,1540,942.58
scaling,24,96,5,4,96,2024,1211.87
scaling,26,94,6,4,94,2600,1523.73
scaling,28,92,6,4,92,3276,1886.62
scaling,30,90,6,4,90,4060,2232.96
scaling,32,88,6,4,88,4960,2669.82
scaling,34,86,6,4,86,5984,3160.84
scaling,36,84,6,4,84,7140,3758.6
scaling,38,82,7,4,82,8436,4353.52
scaling,40,80,7,4,80,9880,5003.22
scaling,42,78,7,4,78,11480,5583.41
scaling,44,76,7,4,76,13244,6411.49
scaling,46,74,7,4,74,15180,2996.98
scaling,48,72,7,4,72,17296,3130.15
scaling,50,70,8,4,70,19600,3453.99
scaling,52,68,8,4,68,22100,3631.06
scaling,54,66,8,4,66,24804,3906.68
scaling,56,64,8,4,64,27720,4332.0
scaling,58,62,8,4,62,30856,4654.74
scaling,60,60,8,4,60,34220,4997.24
scaling,62,58,8,4,58,37820,5275.04
scaling,64,56,8,4,56,41664,5593.47
